sample,expansions (600s)
fukunaga_pipesworld-notankage_p35-net4-b18-g4_dfs_fs_500x200,8277000
fukunaga_pipesworld-notankage_p36-net4-b18-g6_dfs_fs_500x200,8220000
fukunaga_pipesworld-notankage_p37-net4-b20-g5_dfs_fs_500x200,7379000
fukunaga_pipesworld-notankage_p38-net4-b20-g7_dfs_fs_500x200,7388000
fukunaga_pipesworld-notankage_p39-net4-b22-g7_dfs_fs_500x200,5851000
fukunaga_pipesworld-notankage_p40-net4-b22-g8_dfs_fs_500x200,5884000
fukunaga_pipesworld-notankage_p41-net5-b22-g2_dfs_fs_500x200,7346000
fukunaga_pipesworld-notankage_p42-net5-b22-g4_dfs_fs_500x200,7325000
fukunaga_pipesworld-notankage_p43-net5-b24-g3_dfs_fs_500x200,6625000
fukunaga_pipesworld-notankage_p44-net5-b24-g5_dfs_fs_500x200,7292000
fukunaga_pipesworld-notankage_p45-net5-b26-g4_dfs_fs_500x200,6357000
fukunaga_pipesworld-notankage_p46-net5-b26-g6_dfs_fs_500x200,6379000
fukunaga_pipesworld-notankage_p47-net5-b28-g5_dfs_fs_500x200,6024000
fukunaga_pipesworld-notankage_p48-net5-b28-g7_dfs_fs_500x200,6052000
fukunaga_pipesworld-notankage_p49-net5-b30-g6_dfs_fs_500x200,6210000
fukunaga_pipesworld-notankage_p50-net5-b30-g8_dfs_fs_500x200,6193000
fukunaga_rovers_p01_dfs_fs_500x200,12194000
fukunaga_rovers_p02_dfs_fs_500x200,5104000
fukunaga_rovers_p03_dfs_fs_500x200,17031000
fukunaga_rovers_p04_dfs_fs_500x200,11307000
fukunaga_rovers_p05_dfs_fs_500x200,22542000
fukunaga_rovers_p06_dfs_fs_500x200,17984000
fukunaga_rovers_p07_dfs_fs_500x200,16454000
fukunaga_rovers_p08_dfs_fs_500x200,10029000
fukunaga_rovers_p09_dfs_fs_500x200,10017000
fukunaga_rovers_p10_dfs_fs_500x200,8211000
fukunaga_rovers_p11_dfs_fs_500x200,10603000
fukunaga_rovers_p12_dfs_fs_500x200,11466000
fukunaga_rovers_p13_dfs_fs_500x200,8893000
fukunaga_rovers_p14_dfs_fs_500x200,9270000
fukunaga_rovers_p15_dfs_fs_500x200,10031000
fukunaga_rovers_p16_dfs_fs_500x200,8142000
fukunaga_rovers_p17_dfs_fs_500x200,4939000
fukunaga_rovers_p18_dfs_fs_500x200,3381000
fukunaga_rovers_p19_dfs_fs_500x200,3985000
fukunaga_rovers_p20_dfs_fs_500x200,2672000
fukunaga_rovers_p21_dfs_fs_500x200,2958000
fukunaga_rovers_p22_dfs_fs_500x200,2844000
fukunaga_rovers_p23_dfs_fs_500x200,2177000
fukunaga_rovers_p24_dfs_fs_500x200,2041000
fukunaga_rovers_p25_dfs_fs_500x200,1644000
fukunaga_rovers_p26_dfs_fs_500x200,2002000
fukunaga_rovers_p27_dfs_fs_500x200,2048000
fukunaga_rovers_p28_dfs_fs_500x200,1588000
fukunaga_rovers_p29_dfs_fs_500x200,1197000
fukunaga_rovers_p30_dfs_fs_500x200,1236000
fukunaga_rovers_p31_dfs_fs_500x200,1157000
fukunaga_rovers_p32_dfs_fs_500x200,1026000
