sample,epochs (1800s)
fukunaga_pipesworld-notankage_p24-net3-b14-g5_dfs_fs_500x200,770
fukunaga_pipesworld-notankage_p25-net3-b16-g5_dfs_fs_500x200,710
fukunaga_pipesworld-notankage_p26-net3-b16-g7_dfs_fs_500x200,700
fukunaga_pipesworld-notankage_p27-net3-b18-g6_dfs_fs_500x200,690
fukunaga_pipesworld-notankage_p28-net3-b18-g7_dfs_fs_500x200,700
fukunaga_pipesworld-notankage_p29-net3-b20-g6_dfs_fs_500x200,660
fukunaga_pipesworld-notankage_p30-net3-b20-g8_dfs_fs_500x200,660
fukunaga_pipesworld-notankage_p31-net4-b14-g3_dfs_fs_500x200,710
fukunaga_pipesworld-notankage_p32-net4-b14-g5_dfs_fs_500x200,740
fukunaga_pipesworld-notankage_p33-net4-b16-g5_dfs_fs_500x200,700
fukunaga_pipesworld-notankage_p34-net4-b16-g6_dfs_fs_500x200,700
fukunaga_pipesworld-notankage_p35-net4-b18-g4_dfs_fs_500x200,660
fukunaga_pipesworld-notankage_p36-net4-b18-g6_dfs_fs_500x200,670
fukunaga_pipesworld-notankage_p37-net4-b20-g5_dfs_fs_500x200,640
fukunaga_pipesworld-notankage_p38-net4-b20-g7_dfs_fs_500x200,640
fukunaga_pipesworld-notankage_p39-net4-b22-g7_dfs_fs_500x200,650
fukunaga_pipesworld-notankage_p40-net4-b22-g8_dfs_fs_500x200,670
fukunaga_pipesworld-notankage_p41-net5-b22-g2_dfs_fs_500x200,620
fukunaga_pipesworld-notankage_p42-net5-b22-g4_dfs_fs_500x200,630
fukunaga_pipesworld-notankage_p43-net5-b24-g3_dfs_fs_500x200,620
fukunaga_pipesworld-notankage_p44-net5-b24-g5_dfs_fs_500x200,640
fukunaga_pipesworld-notankage_p45-net5-b26-g4_dfs_fs_500x200,580
fukunaga_pipesworld-notankage_p46-net5-b26-g6_dfs_fs_500x200,600
fukunaga_pipesworld-notankage_p47-net5-b28-g5_dfs_fs_500x200,580
fukunaga_pipesworld-notankage_p48-net5-b28-g7_dfs_fs_500x200,580
fukunaga_pipesworld-notankage_p49-net5-b30-g6_dfs_fs_500x200,560
fukunaga_pipesworld-notankage_p50-net5-b30-g8_dfs_fs_500x200,630
fukunaga_rovers_p01_dfs_fs_500x200,1010
fukunaga_rovers_p02_dfs_fs_500x200,1690
fukunaga_rovers_p03_dfs_fs_500x200,950
fukunaga_rovers_p04_dfs_fs_500x200,960
fukunaga_rovers_p05_dfs_fs_500x200,950
fukunaga_rovers_p06_dfs_fs_500x200,950
fukunaga_rovers_p07_dfs_fs_500x200,950
fukunaga_rovers_p08_dfs_fs_500x200,930
fukunaga_rovers_p09_dfs_fs_500x200,960
fukunaga_rovers_p10_dfs_fs_500x200,960
fukunaga_rovers_p11_dfs_fs_500x200,950
fukunaga_rovers_p12_dfs_fs_500x200,970
fukunaga_rovers_p13_dfs_fs_500x200,960
fukunaga_rovers_p14_dfs_fs_500x200,950
fukunaga_rovers_p15_dfs_fs_500x200,980
fukunaga_rovers_p16_dfs_fs_500x200,930
fukunaga_rovers_p17_dfs_fs_500x200,880
fukunaga_rovers_p18_dfs_fs_500x200,850
fukunaga_rovers_p19_dfs_fs_500x200,850
fukunaga_rovers_p20_dfs_fs_500x200,840
fukunaga_rovers_p21_dfs_fs_500x200,770
fukunaga_rovers_p22_dfs_fs_500x200,790
fukunaga_rovers_p23_dfs_fs_500x200,730
fukunaga_rovers_p24_dfs_fs_500x200,720
fukunaga_rovers_p25_dfs_fs_500x200,820
fukunaga_rovers_p26_dfs_fs_500x200,770
fukunaga_rovers_p27_dfs_fs_500x200,760
fukunaga_rovers_p28_dfs_fs_500x200,720
fukunaga_rovers_p29_dfs_fs_500x200,730
fukunaga_rovers_p30_dfs_fs_500x200,660
fukunaga_rovers_p31_dfs_fs_500x200,650
fukunaga_rovers_p32_dfs_fs_500x200,650
fukunaga_rovers_p33_dfs_fs_500x200,620
fukunaga_rovers_p34_dfs_fs_500x200,610
fukunaga_rovers_p35_dfs_fs_500x200,590
fukunaga_rovers_p36_dfs_fs_500x200,590
fukunaga_rovers_p37_dfs_fs_500x200,580
fukunaga_rovers_p38_dfs_fs_500x200,520
fukunaga_rovers_p39_dfs_fs_500x200,560
fukunaga_scanalyzer-opt11-strips_p01_dfs_fs_500x200,2440
fukunaga_scanalyzer-opt11-strips_p02_dfs_fs_500x200,950
fukunaga_scanalyzer-opt11-strips_p03_dfs_fs_500x200,930
fukunaga_scanalyzer-opt11-strips_p04_dfs_fs_500x200,970
fukunaga_scanalyzer-opt11-strips_p05_dfs_fs_500x200,940
fukunaga_scanalyzer-opt11-strips_p06_dfs_fs_500x200,970
fukunaga_scanalyzer-opt11-strips_p07_dfs_fs_500x200,790
fukunaga_scanalyzer-opt11-strips_p08_dfs_fs_500x200,950
fukunaga_scanalyzer-opt11-strips_p09_dfs_fs_500x200,910
fukunaga_scanalyzer-opt11-strips_p10_dfs_fs_500x200,920
